2019-11-18 12:58:53 INFO     Connection established with ('127.0.0.1', 59556)
2019-11-18 12:59:10,113 WARNING  Client disconnected: <socket.socket fd=1524, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59556)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:59:10 WARNING  Client disconnected: <socket.socket fd=1524, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 59556)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 12:59:12,505 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 12:59:12 ERROR    Socket error: [WinError 10053] An established connection was aborted by the software in your host machine
2019-11-18 13:35:25,411 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 13:35:25 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 13:35:28,968 INFO     Connection established with ('127.0.0.1', 63727)
2019-11-18 13:35:28 INFO     Connection established with ('127.0.0.1', 63727)
2019-11-18 13:35:33,152 INFO     Connection established with ('127.0.0.1', 63733)
2019-11-18 13:35:33 INFO     Connection established with ('127.0.0.1', 63733)
2019-11-18 13:35:52,655 WARNING  Client disconnected: <socket.socket fd=1520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 63733)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:35:52 WARNING  Client disconnected: <socket.socket fd=1520, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 63733)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:35:54,087 WARNING  Client disconnected: <socket.socket fd=1544, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 63727)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:35:54 WARNING  Client disconnected: <socket.socket fd=1544, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 63727)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:37:50,896 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 13:37:50 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 13:37:53,516 INFO     Connection established with ('127.0.0.1', 63957)
2019-11-18 13:37:53 INFO     Connection established with ('127.0.0.1', 63957)
2019-11-18 13:37:57,678 INFO     Connection established with ('127.0.0.1', 63964)
2019-11-18 13:37:57 INFO     Connection established with ('127.0.0.1', 63964)
2019-11-18 13:40:50,055 WARNING  Client disconnected: <socket.socket fd=1564, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 63957)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:40:50 WARNING  Client disconnected: <socket.socket fd=1564, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 63957)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:40:52,438 WARNING  Client disconnected: <socket.socket fd=1508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 63964)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:40:52 WARNING  Client disconnected: <socket.socket fd=1508, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 1235), raddr=('127.0.0.1', 63964)> | Exception: [WinError 10054] An existing connection was forcibly closed by the remote host
2019-11-18 13:49:06,317 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 13:49:06 INFO     Initialized PONG server at 127.0.0.1:1235
2019-11-18 13:49:12,281 INFO     Connection established with ('127.0.0.1', 65166)
2019-11-18 13:49:12 INFO     Connection established with ('127.0.0.1', 65166)
2019-11-18 13:49:17,187 INFO     Connection established with ('127.0.0.1', 65173)
